n.th,n.en
Argentina Torneo Federal A,Argentina Torneo Federal A
"เยอรมัน ฮัมบวร์ค คัพ",Germany Hamburg Cup
Venezuela Segunda Division,Venezuela Segunda Division
"เม็กซิโก ลิก้า เด แอสเซนโซ่",Mexico Liga de Ascenso
"เบลเยียม (R) ลีก",Belgium Reserve League
"บราซิล โคปา กูโช",Brazil Copa Gaucho
"อังกฤษ อีสเมี่ยน ลีก คัพ",English Isthmian League Cup
Spain Division de Honor U19,Spain Division de Honor U19
"บราซิล เปาลิสต้า เซกุนด้า ดิวิชั่น U23",Brazil Paulista Segunda Division U23
"เบลเยี่ยม (W) ซุปเปอร์ ลีก",Belgium Women Super League
Australia Westfield FFA Cup Winner,Australia Westfield FFA Cup Winner
Hong Kong 1st Div,Hong Kong 1st Div
South Africa Nedbank Cup,South Africa Nedbank Cup
"มาเลเซีย พรีเมียร์ ลีก",Malaysia Premier League
Lunar New Year Cup (in Hong Kong),Lunar New Year Cup (in Hong Kong)
Iceland League Cup,Iceland League Cup
Chile Primera Division,Chile Primera Division
AFF U22 Championship (in Cambodia),AFF U22 Championship (in Cambodia)
English Lancashire FA Challenge Trophy,English Lancashire FA Challenge Trophy
UEFA EUROPEAN U21 CHAMPIONSHIP 2021 QUALIFIERS,UEFA EUROPEAN U21 CHAMPIONSHIP 2021 QUALIFIERS
English Checkatrade Trophy Winner,English Checkatrade Trophy Winner
New Zealand Northern Region Football League,New Zealand Northern Region Football League
Hero Super Cup (in India),Hero Super Cup (in India)
USL League One,USL League One
Tunisia Super Cup,Tunisia Super Cup
Four Nations Tournament Women (in Romania),Four Nations Tournament Women (in Romania)
Qatar Emir Cup,Qatar Emir Cup
Austria Women Bundesliga,Austria Women Bundesliga
English Northern Premier League Premier Division Playoff,English Northern Premier League Premier Division Playoff
"เปรู พรีเมร่า ดิวิชั่น",Peru Primera Division
"เจแปน J1 ลีก",JAPAN J1 LEAGUE
"โปแลนด์ เอคตร้าคลาซ่า",Poland Ekstraklasa
Australia Victorian Premier League,Australia Victorian Premier League
"ตุรกี ซูเปอร์ คัพ",Turkey Super Cup
South Australia Premier League,South Australia Premier League
"ลิธัวเนีย เอ ลีก",Lithuania A League
Israel Toto Cup,Israel Toto Cup
"ลัดเวีย คัพ",Latvia Cup
"ฮอลแลนด์ อีเรดิวิซี่",HOLLAND EREDIVISIE
"เวเนซุเอล่า คัพ",Venezuela Cup
Memorial Mladen Ramljak U19 (in Croatia),Memorial Mladen Ramljak U19 (in Croatia)
Uzbekistan Pro League A,Uzbekistan Pro League A
Belarus Cup,Belarus Cup
South Africa MTN 8 Tournament,South Africa MTN 8 Tournament
"อังกฤษ คาราบาว คัพ",ENGLISH CARABAO CUP
Argentina Reserve League,Argentina Reserve League
Australia New South Wales Premier League Playoff,Australia New South Wales Premier League Playoff
CAF แชมป์เปี้ยน ลีก,CAF Champions League
Saudi Arabia Super Cup,Saudi Arabia Super Cup
